Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbTrtR1,RbTrtR2,RbTrtR3,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaCtlR4,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4
2310039H08Rik,7,14,15,10,11,12,66,60,56,71,61,55,47,60
Rps10,35,39,33,26,34,29,836,710,639,575,674,787,505,695
Arih1,434,598,624,457,495,444,3176,3248,2861,3070,3036,3641,2913,3102
Itgal,3,11,4,5,4,5,25,20,26,23,14,21,24,17
Sirt6,44,76,70,54,47,59,61,50,70,53,77,87,66,67
Rgs12,161,198,187,108,141,93,1057,1024,970,1100,793,932,765,796
Gm10681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hfe,9,11,7,11,14,13,69,63,73,80,81,107,63,65
Tdrd7,168,279,249,196,194,179,858,798,723,700,790,937,638,839
Ak2,80,127,111,85,79,82,369,288,267,286,301,356,213,282
Znhit1,162,287,273,226,261,270,411,334,329,483,404,403,305,367
Prx,1,3,1,0,0,1,33,30,27,33,42,47,20,32
Zxdb,0,1,1,1,0,1,470,567,452,361,408,530,466,418
Alas2,21,31,35,28,31,21,324,324,718,534,222,239,456,242
Fiz1,65,106,85,62,79,82,297,309,287,376,370,377,249,381
Doxl1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Serpinh1,188,280,259,187,235,219,753,642,569,622,692,750,394,623
Vmn2r65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myh3,19,31,26,27,32,23,68,87,95,76,97,100,82,69
Grm5,914,1324,1343,882,962,951,9725,10576,8959,9418,8647,10320,9216,8633
Apol7e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vill,17,14,21,12,13,9,64,73,62,61,51,45,31,41
Ins2,0,0,0,0,0,0,0,2,2,0,0,0,1,0
Wnk1,628,780,763,409,432,468,5532,5400,5233,5716,5678,6421,4954,5667
Tex14,1,0,2,0,1,4,11,7,7,7,7,13,7,6
Eya1,25,54,37,34,36,32,230,222,247,268,293,324,213,232
Adgrg2,7,20,13,4,16,12,41,31,32,29,19,30,32,27
Nkain3,35,54,57,38,31,25,366,359,302,375,299,343,311,257
Cd2bp2,250,305,365,231,292,212,1309,1215,1160,1307,1272,1285,1165,1212
Sapcd2,3,10,9,3,8,8,29,24,23,31,33,31,20,33
Kcng2,23,18,9,14,9,20,59,86,55,65,61,74,62,69
Tecr,1601,2111,2091,1615,1793,1690,4655,4178,4405,5491,4237,4708,3414,4270
Asmt,2,2,0,0,0,1,0,0,0,0,0,0,0,1
Tfg,449,558,550,510,552,530,970,1012,847,919,1064,1223,846,1083
Trpm3,234,314,318,179,187,198,1975,1925,1799,2076,1470,1663,1692,1560
Mtarc2,399,502,561,320,388,352,858,781,754,853,770,927,721,790
Itih5,231,309,314,216,241,217,1036,995,847,885,953,1092,839,937
Adcy4,19,18,31,20,18,7,46,49,33,23,64,62,29,71
Mical1,44,82,57,35,44,42,144,155,130,138,140,142,83,131
Zc3hav1l,6,12,11,8,7,7,159,133,133,115,160,179,92,138
Lrch4,28,49,40,29,25,36,0,0,0,0,0,0,0,0
Gbp5,18,17,19,8,25,18,35,38,23,22,41,31,29,39
Wnk2,539,745,741,430,527,425,1710,1726,1645,1820,2212,2353,1721,2129
Sec22a,78,92,117,74,80,87,367,373,375,341,348,396,303,357
Ahsa2,101,121,113,91,94,96,244,274,185,223,233,255,196,222
Tfeb,61,50,64,40,57,33,125,133,119,119,96,128,91,121
Tgm1,1,2,2,1,1,1,1,2,0,2,0,2,1,6
Dynlt1f,0,0,0,0,0,0,0,0,3,0,2,0,1,0
D7Ertd443e,18,23,12,11,17,14,75,62,89,94,91,96,63,105
Tlcd2,2,2,1,1,4,0,11,12,11,10,7,7,7,6
Lrch2,203,219,251,177,211,169,758,861,662,544,628,767,815,613
Zdhhc6,16,30,22,20,24,23,493,536,481,583,564,664,454,560
Cbx3,72,89,104,90,97,88,373,418,360,321,297,382,378,359
Fndc4,90,107,108,79,79,73,1029,1038,1077,1316,1145,1319,1009,1146
Slc25a28,47,59,47,46,31,36,286,263,219,311,300,317,229,267
Gbp4,0,0,1,2,3,2,27,27,22,19,35,33,13,26
Cdkl3,9,16,20,19,14,13,221,218,194,232,185,220,145,179
Etfrf1,31,43,49,47,58,38,425,397,439,427,383,487,418,416
Atn1,455,705,677,381,442,415,661,606,555,624,852,983,706,823
Zfp111,40,39,36,36,41,27,317,300,246,299,308,329,243,292
Sema3b,17,13,18,11,6,19,82,64,58,54,44,46,40,48
Rbm43,60,58,86,56,56,62,359,319,300,345,317,338,253,308
S100a3,0,0,3,0,0,2,6,5,5,12,4,6,3,4
Kif18b,7,10,8,8,4,4,19,12,10,17,16,13,8,10
Hsh2d,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Sgsm2,123,179,171,95,121,131,1427,1322,1280,1586,1456,1628,1277,1554
Sem1,413,549,593,354,437,336,1101,1229,964,904,816,940,726,868
Shd,34,65,45,28,52,38,254,233,291,292,286,348,257,296
Lcp1,61,62,63,55,64,46,225,229,176,219,250,290,189,222
H2-Q7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gjb5,0,0,0,0,0,0,0,2,1,1,0,2,0,0
Rnps1,62,87,91,65,74,86,777,769,773,929,635,697,565,675
Gpr83,192,260,245,202,223,211,757,784,685,827,772,871,698,838
Cyp2d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rab23,69,79,96,84,97,86,429,435,390,423,509,559,481,443
Ext2,258,302,310,202,244,227,498,439,474,516,485,575,431,510
Scin,3,2,1,4,3,3,3,2,3,2,1,7,4,4
Clec11a,9,7,13,7,11,12,58,80,86,82,79,67,59,95
Scg2,2770,3636,3709,2411,2649,2589,5122,4848,4488,5463,4302,4771,3863,4326
Map7d2,1010,1310,1455,813,972,905,3213,3383,2715,2944,2971,3331,2750,3061
Tectb,0,0,0,0,0,0,14,9,11,14,10,11,4,11
Spata3,0,1,1,0,0,0,11,6,5,5,5,10,3,11
Ola1,589,729,771,608,765,684,2342,2267,1933,2085,2009,2350,2062,2046
Lrrc46,6,7,5,7,7,10,15,8,9,9,7,8,7,7
Tmigd3,0,0,1,0,0,1,1,1,1,2,2,1,1,2
Dpep2,0,1,0,1,0,0,2,2,0,0,0,0,4,2
Slc25a51,87,118,138,102,103,93,1857,1887,1842,2157,2089,2417,1805,2122
Ubald2,0,9,2,6,3,8,1,0,0,0,1,1,0,1
6720489N17Rik,3,0,0,0,0,2,75,57,73,76,50,97,68,62
Zfp703,164,232,244,168,218,194,279,298,265,287,375,373,318,341
Slc35g2,157,206,202,167,193,156,444,501,414,371,362,459,356,381
Clasp2,1284,1591,1699,996,1259,1190,12367,12638,10942,11639,11221,12885,9527,11062
Pak6,110,118,132,82,90,82,1746,1556,1627,1752,1581,1921,1369,1662
Smim19,74,79,90,73,84,89,269,310,285,350,290,379,309,329
Heph,23,59,40,24,35,38,143,111,107,128,92,151,136,110
Rhox2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd209b,2,1,0,1,0,1,0,2,5,1,1,1,1,0
Prame,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Mgam,0,0,1,0,4,0,3,0,1,0,0,0,1,1
Sh3d19,68,77,101,44,43,42,552,547,465,547,512,513,377,478
Dab2,74,115,96,81,64,66,257,251,232,209,225,238,163,228
Arhgap44,330,475,445,346,366,332,3086,2988,2918,3200,2932,3247,2617,2895
Ppp1r32,3,5,10,9,2,3,11,13,12,8,13,13,3,7
Tead3,6,5,8,7,5,9,19,10,18,10,22,16,11,12
Ctps2,110,151,145,128,114,130,616,642,527,540,640,737,481,581
Gps1,20,50,45,51,61,33,1078,1024,1065,1300,1155,1221,1012,1113
Cdh16,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shmt2,139,187,187,103,125,105,227,206,219,253,233,250,170,245
Ncor1,587,844,813,477,532,465,5545,5636,4877,5320,5685,6709,4812,5646
Dhrs3,49,84,75,54,71,60,289,234,235,309,279,311,181,248
Rs1,0,0,0,0,0,0,19,22,17,20,34,30,21,29
Rps7,3,4,4,3,11,4,2024,1849,1875,2363,1485,1613,1485,1534
Klk5,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Gm21828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpig6b,0,1,0,0,0,0,1,0,0,0,0,2,0,0
Cep131,86,150,135,82,114,113,225,269,196,216,272,299,237,289
Masp1,85,102,92,79,89,77,255,212,231,238,208,218,173,221
