gene_name,tpm_rbctr1,tpm_rbctr2,tpm_rbctr3,tpm_rnactr1,tpm_rnactr2,tpm_rnactr3,tpm_rnactr4,avg_rpf,avg_rna
Cnr2,0.26247,1.19015,0.19212,0.16257,0.48735,0.11877,0.32685,0.54825,0.27389
Pcdhgb8,1.57481,1.78523,1.34484,1.95085,2.0577,2.19733,1.52529,1.56829,1.93279
Zbbx,0.26247,0.79344,0.57636,1.73409,2.2743,1.84101,2.23346,0.54409,2.02071
Cdc6,0.26247,0.79344,0.57636,1.08381,0.37905,1.00958,0.27237,0.54409,0.6862
4930563E22Rik,0.26247,0.59508,0.38424,1.95085,2.54505,2.19733,1.96109,0.41393,2.16358
Lamc2,24.67206,24.79489,25.93618,14.08947,12.02132,13.77786,15.36184,25.13438,13.81262
Dzip1l,8.92394,9.7196,10.18235,26.06553,24.42169,24.94267,24.13225,9.60863,24.89053
Nek10,3.67456,3.17375,4.61088,4.38941,5.25256,4.92915,3.97665,3.81973,4.63694
Atp6v1c2,2.36222,2.38031,1.53696,2.2218,2.32845,1.95978,2.01556,2.09316,2.1314
Ctsll3,0.26247,0.0,0.57636,0.0,0.0,0.0,0.0,0.27961,0.0
Cchcr1,2.62469,1.98359,3.26604,2.2218,2.166,2.25672,1.85214,2.62477,2.12416
Rbpj,1.83728,1.98359,2.11332,17.01575,18.73593,17.69742,17.92215,1.97806,17.84281
Pdzd2,38.84538,42.44885,42.6506,77.38373,74.61881,75.30311,85.30724,41.31494,78.15322
Mcrip2,10.23628,10.11631,9.79811,6.77379,5.57746,5.99812,7.7354,10.05024,6.52119
Cpxm1,8.13653,9.12452,7.10843,7.20731,6.71461,7.4828,5.77431,8.12316,6.79476
Rsph4a,8.92394,4.16554,5.95571,4.22684,4.65691,5.76057,4.73929,6.3484,4.8459
Cracr2a,3.41209,2.57867,3.65028,3.52237,2.7075,2.7912,3.05058,3.21368,3.01791
Myo5b,35.95822,43.04392,36.88701,59.82608,56.69513,54.39878,59.37733,38.62972,57.57433
